date,cash_allocation
2006-04-30,0.1890
2006-05-31,0.2770
2006-06-30,0.2910
2006-07-31,0.3190
2006-08-31,0.3240
2006-09-30,0.2450
2006-10-31,0.2480
2006-11-30,0.2500
2006-12-31,0.2250
2007-01-31,0.1870
2007-02-28,0.1930
2007-03-31,0.2420
2007-04-30,0.1920
2007-05-31,0.2500
2007-06-30,0.2160
2007-07-31,0.1890
2007-08-31,0.3070
2007-09-30,0.2290
2007-10-31,0.2640
2007-11-30,0.3150
2007-12-31,0.2640
2008-01-31,0.2270
2008-02-29,0.2870
2008-03-31,0.2750
2008-04-30,0.2410
2008-05-31,0.2990
2008-06-30,0.2710
2008-07-31,0.2650
2008-08-31,0.3220
2008-09-30,0.3570
2008-10-31,0.3640
2008-11-30,0.3700
2008-12-31,0.4170
2009-01-31,0.2970
2009-02-28,0.3480
2009-03-31,0.4480
2009-04-30,0.3320
2009-05-31,0.3530
2009-06-30,0.2700
2009-07-31,0.2480
2009-08-31,0.2880
2009-09-30,0.2540
2009-10-31,0.1890
2009-11-30,0.2710
2009-12-31,0.1810
2010-01-31,0.1850
2010-02-28,0.2390
2010-03-31,0.1850
2010-04-30,0.1920
2010-05-31,0.2360
2010-06-30,0.2550
2010-07-31,0.2430
2010-08-31,0.2410
2010-09-30,0.2030
2010-10-31,0.1770
2010-11-30,0.1590
2010-12-31,0.1780
2011-01-31,0.1750
2011-02-28,0.1920
2011-03-31,0.1800
2011-04-30,0.1850
2011-05-31,0.1790
2011-06-30,0.2150
2011-07-31,0.1930
2011-08-31,0.2310
2011-09-30,0.2280
2011-10-31,0.2460
2011-11-30,0.2570
2011-12-31,0.2220
2012-01-31,0.1820
2012-02-29,0.1830
2012-03-31,0.2040
2012-04-30,0.2070
2012-05-31,0.1940
2012-06-30,0.2000
2012-07-31,0.2080
2012-08-31,0.1810
2012-09-30,0.1800
2012-10-31,0.1890
2012-11-30,0.2020
2012-12-31,0.2060
2013-01-31,0.1840
2013-02-28,0.1820
2013-03-31,0.2280
2013-04-30,0.1850
2013-05-31,0.1670
2013-06-30,0.2070
2013-07-31,0.1780
2013-08-31,0.2050
2013-09-30,0.1960
2013-10-31,0.1690
2013-11-30,0.1850
2013-12-31,0.1650
2014-01-31,0.1740
2014-02-28,0.1690
2014-03-31,0.1710
2014-04-30,0.1740
2014-05-31,0.1920
2014-06-30,0.1710
2014-07-31,0.1580
2014-08-31,0.1600
2014-09-30,0.1650
2014-10-31,0.1870
2014-11-30,0.1680
2014-12-31,0.1480
2015-01-31,0.1530
2015-02-28,0.1530
2015-03-31,0.1490
2015-04-30,0.1590
2015-05-31,0.1690
2015-06-30,0.1730
2015-07-31,0.1720
2015-08-31,0.1870
2015-09-30,0.2000
2015-10-31,0.1870
2015-11-30,0.1780
2015-12-31,0.1770
2016-01-31,0.2020
2016-02-29,0.2130
2016-03-31,0.1850
2016-04-30,0.1760
2016-05-31,0.1930
2016-06-30,0.1850
2016-07-31,0.1790
2016-08-31,0.1600
2016-09-30,0.1830
2016-10-31,0.1870
2016-11-30,0.1720
2016-12-31,0.1790
2017-01-31,0.1770
2017-02-28,0.1720
2017-03-31,0.1550
2017-04-30,0.1680
2017-05-31,0.1720
2017-06-30,0.1630
2017-07-31,0.1450
2017-08-31,0.1600
2017-09-30,0.1610
2017-10-31,0.1510
2017-11-30,0.1390
2017-12-31,0.1300
2018-01-31,0.1330
2018-02-28,0.1500
2018-03-31,0.1470
2018-04-30,0.1660
2018-05-31,0.1590
2018-06-30,0.1570
2018-07-31,0.1590
2018-08-31,0.1710
2018-09-30,0.1600
2018-10-31,0.1720
2018-11-30,0.1960
2018-12-31,0.2180
2019-01-31,0.2030
2019-02-28,0.1690
2019-03-31,0.1730
2019-04-30,0.1510
2019-05-31,0.1530
2019-06-30,0.1720
2019-07-31,0.1510
2019-08-31,0.1630
2019-09-30,0.1460
2019-10-31,0.1700
2019-11-30,0.1430
2019-12-31,0.1570
2020-01-31,0.1380
2020-02-29,0.1480
2020-03-31,0.2610
2020-04-30,0.2300
2020-05-31,0.2000
2020-06-30,0.1840
2020-07-31,0.1990
2020-08-31,0.1630
2020-09-30,0.1850
2020-10-31,0.1750
2020-11-30,0.1840
2020-12-31,0.1540
2021-01-31,0.1560
2021-02-28,0.1630
2021-03-31,0.1470
2021-04-30,0.1470
2021-05-31,0.1510
2021-06-30,0.1410
2021-07-31,0.1390
2021-08-31,0.1370
2021-09-30,0.1430
2021-10-31,0.1470
2021-11-30,0.1420
2021-12-31,0.1510
2022-01-31,0.1610
2022-02-28,0.1670
2022-03-31,0.1740
2022-04-30,0.1760
2022-05-31,0.1910
2022-06-30,0.2120
2022-07-31,0.2230
2022-08-31,0.2120
2022-09-30,0.2190
2022-10-31,0.2470
2022-11-30,0.2400
2022-12-31,0.2180
2023-01-31,0.2010
2023-02-28,0.1940
2023-03-31,0.2010
2023-04-30,0.1990
2023-05-31,0.2000
2023-06-30,0.1980
2023-07-31,0.1800
2023-08-31,0.1740
2023-09-30,0.1850
2023-10-31,0.1970
2023-11-30,0.1900
2023-12-31,0.1730
2024-01-31,0.1690
2024-02-29,0.1680
2024-03-31,0.1670
2024-04-30,0.1660
2024-05-31,0.1580
2024-06-30,0.1500
2024-07-31,0.1540
2024-08-31,0.1680
2024-09-30,0.1680
2024-10-31,0.1640
2024-11-30,0.1600
2024-12-31,0.1560
2025-01-31,0.1640
2025-02-28,0.1740
2025-03-31,0.1830
2025-04-30,0.1970
2025-05-31,0.1960
2025-06-30,0.1660
2025-07-31,0.1600
2025-08-31,0.1650
2025-09-30,0.1540
2025-10-31,0.1467
2025-11-30,0.1483
2025-12-31,0.1478
2026-01-31,0.1442
2026-02-28,0.1419
2026-03-31,0.1502
